keyword,intent
account health guidelines,amazon_docs
amazon global,amazon_docs
amazon global selling,amazon_docs
amazon global selling send,amazon_docs
amazon lending,amazon_docs
amazon policy,amazon_docs
amazon vine,amazon_docs
amazon warehousing,amazon_docs
amazon warehousing distribution,amazon_docs
amazon warehousing distribution awd,amazon_docs
asked questions,amazon_docs
automate pricing,amazon_docs
what is awd,amazon_docs
business rules,amazon_docs
channel fulfillment,amazon_docs
dangerous goods,amazon_docs
distribution awd,amazon_docs
fba fee policy,amazon_docs
fba inbound,amazon_docs
fba packaging,amazon_docs
fba policy,amazon_docs
fee schedule,amazon_docs
fee structure,amazon_docs
frequently asked,amazon_docs
frequently asked questions,amazon_docs
fufillment fee,amazon_docs
fulfilled prime,amazon_docs
global selling,amazon_docs
global selling send,amazon_docs
global selling send program,amazon_docs
hazmat,amazon_docs
how are fees calculated,amazon_docs
inbound performance,amazon_docs
intellectual property,amazon_docs
inventory file,amazon_docs
inventory report,amazon_docs
long-term storage fee,amazon_docs
what is mcf,amazon_docs
what is multi channel,amazon_docs
what ismulti channel fulfillment,amazon_docs
oversize fee policy,amazon_docs
packaging sipp,amazon_docs
prep requirements,amazon_docs
pricing rule,amazon_docs
product compliance,amazon_docs
product listing requirements,amazon_docs
product packaging,amazon_docs
product packaging sipp,amazon_docs
product safety,amazon_docs
referral fee structure,amazon_docs
removal fee policy,amazon_docs
restricted products,amazon_docs
return policy,amazon_docs
seller api docs,amazon_docs
seller central guidelines,amazon_docs
seller fulfilled,amazon_docs
seller fulfilled prime,amazon_docs
seller performance,amazon_docs
selling send,amazon_docs
selling send program,amazon_docs
send amazon,amazon_docs
send program,amazon_docs
send shipments,amazon_docs
send shipments amazon,amazon_docs
send shipments amazon warehousing,amazon_docs
shipments amazon,amazon_docs
shipments amazon warehousing,amazon_docs
shipments amazon warehousing distribution,amazon_docs
ships product,amazon_docs
ships product packaging,amazon_docs
ships product packaging sipp,amazon_docs
sp-api documentation,amazon_docs
storage fee changes,amazon_docs
storage fee policy,amazon_docs
stranded inventory,amazon_docs
subscribe save,amazon_docs
terms conditions,amazon_docs
warehousing distribution,amazon_docs
warehousing distribution awd,amazon_docs
what fees apply,amazon_docs
what is fba,amazon_docs
what is fbm,amazon_docs
account verification,amazon_docs
buy box,amazon_docs
seller account,amazon_docs
seller account health,amazon_docs
chromadb,general
concept of,general
context window,general
cosine similarity,general
difference between,general
large language model,general
meaning of,general
prompt engineering,general
semantic search,general
tokenization,general
transformer model,general
vector embedding,general
what is rag,general
active listings,sp_api
asin lookup,sp_api
catalog info,sp_api
check order,sp_api
delivery status,sp_api
fulfillment status,sp_api
has my order shipped,sp_api
in stock,sp_api
inventory level,sp_api
inventory placement,sp_api
is my order delivered,sp_api
listing active,sp_api
listing status,sp_api
look up order,sp_api
order 112,sp_api
order 113,sp_api
order 114,sp_api
order details,sp_api
order fulfillment,sp_api
order status,sp_api
order tracking,sp_api
product listing,sp_api
sku lookup,sp_api
stock level,sp_api
track my order,sp_api
track shipment,sp_api
units in fba,sp_api
warehouse stock,sp_api
when will my order arrive,sp_api
get order,uds
fba inventory,uds
financial report,uds
financial settlement,uds
inventory age,uds
inventory check,uds
inventory health,uds
removal order,uds
settlement report,uds
settlement summary,uds
shipping details,uds
average order value,uds
clickhouse table,uds
column names,uds
daily sales,uds
dataset contains,uds
describe table,uds
fba fees,uds
fee analysis,uds
fee breakdown,uds
fee comparison,uds
fee summary,uds
financial summary,uds
historical sales,uds
list all tables,uds
monthly fee report,uds
orders sold,uds
oversize fee,uds
products by refund,uds
referral fee breakdown,uds
refund count,uds
refund rate,uds
revenue by month,uds
revenue trend,uds
sales analytics,uds
sales breakdown,uds
sales growth,uds
sales performance,uds
sales trend,uds
storage fee trend,uds
table schema,uds
table structure,uds
top products by revenue,uds
top products by sales,uds
total fees,uds
uds table,uds
what columns,uds
which table,uds
